[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_role WHERE   LOAN_ROLECONTROL='FormSet' and LOAN_ROLEACTION='FormList' AND LOAN_ROLEDISPLAY=0 and LOAN_PARAM is null ) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [2] Missing argument 1 for Form::__construct(), called in D:\wamp64\www\branches\oms-2.7.0\adminpack\Lib\Action\Admin\FormSetAction.class.php on line 8 and defined Form.php 第 136 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Use of undefined constant Field - assumed 'Field' Form.php 第 142 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: fromurl FormSetAction.class.php 第 11 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: childrenformno Form.php 第 531 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | SQL: select * from FORM  where FORMNO=53 [ RunTime:0.000000s ]
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | SQL: select * from FORMLIST where FORMNO =53 order by GRIDQUEUE ASC [ RunTime:0.000000s ]
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: parentchooseid Form.php 第 555 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 660 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 662 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 664 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 666 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 669 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 671 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 673 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 675 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: faction Form.php 第 677 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: maxColno Form.php 第 718 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | SQL: select FORMNO,FORMTITLE,CUSTOMACTION,SQLTEXT,PKFIELD,EDITABLE,ADDABLE,DELABLE,FILTERABLE,SORTABLE,SHOWDETAIL,GRIDMODE,WIDTH,LABELWIDTH,LOGPATH,INCPATH,IMGPATH,SAVEERRLOG,DELCONDITION,EDITCONDITION,BISQL,AISQL,BUSQL,AUSQL,BDSQL,ADSQL,GABTN,GCBTN,SHOWBOTTOMBTN,FORMAFTERDATA,FORMBEFOREDATA,GRIDAFTERDATA,GRIDBEFOREDATA,MAXLENGTH,SHOWIMGBTN,LOGERR,CHANGEROWS,SQLTEXTFILTER,TABLENAME,FORMAFTERBTN,FORMCHANGEBTN,PARENTID,CZBTN,SHOWPKFIELD,SHOWSEQUENCE,SHOWCHECKBOX,FKFIELD,FORMTYPE from  FORM  where FORMNO = 106   [ RunTime:0.000000s ]
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index:  Form.php 第 793 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: houzui Field.php 第 187 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 211 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index:  Form.php 第 793 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: houzui Field.php 第 187 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 348 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: options Field.php 第 362 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: html Form.php 第 810 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index:  Form.php 第 771 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ISNEW Field.php 第 135 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ORIVALUEE Field.php 第 135 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: houzui Field.php 第 187 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ORIVALUEE Field.php 第 197 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 370 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ISNEW Field.php 第 371 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index:  Form.php 第 771 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ISNEW Field.php 第 135 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ORIVALUEE Field.php 第 135 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: houzui Field.php 第 187 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ORIVALUEE Field.php 第 197 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ISNEW Field.php 第 210 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 211 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index:  Form.php 第 771 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ISNEW Field.php 第 135 行.
[ 2017-03-29T13:58:44+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/FormList&add=0&FORMNO=53&showForm=1&ID=106 | NOTIC: [8] Undefined index: ORIVALUEE Field.php 第 135 行.
