[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   ID,NAME FROM erp_salemethod WHERE ISVALID = -1 ORDER BY VERSON DESC,ORDERID ASC) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined variable: bjarr Form.php 第 1907 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined offset: 2 Form.php 第 1907 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select A.*,B.TNAME from ERP_STATUS A left join ERP_STATUS_TYPE B on A.TYPE=B.ID where A.TYPE = 2   order by A.QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select  STATUS,COLOR,TYPE from ERP_STATUS   where  TYPE = 2   order by  QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined offset: 3 Form.php 第 1907 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select A.*,B.TNAME from ERP_STATUS A left join ERP_STATUS_TYPE B on A.TYPE=B.ID where A.TYPE = 3   order by A.QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select  STATUS,COLOR,TYPE from ERP_STATUS   where  TYPE = 3   order by  QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined offset: 4 Form.php 第 1907 行.
