[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_template ] --START--
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_parse ] --START--
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_filter ] --START--
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_end ] --START--
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-11-25T11:29:13+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-11-25T11:29:19+08:00 ] /touch/index.php?s=/Index/login | INFO: Tag[ route_check ] --START--
